Region,Month of Period End,Median Sale Price,Homes Sold,New Listings,Inventory,Days on Market,Average Sale To List
,June 2014,$219K,41,36,150,62,99.2%
,July 2014,$220K,39,41,151,64,98.2%
,August 2014,$237K,34,41,143,70,98.8%
,September 2014,$227K,28,43,147,83,97.9%
,October 2014,$213K,38,47,146,64,99.5%
,November 2014,$237K,34,12,120,52,99.4%
,December 2014,$233K,25,25,112,91,99.4%
,January 2015,$251K,13,25,118,139,98.5%
,February 2015,$248K,24,24,117,156,97.1%
,March 2015,$235K,42,42,116,85,98.8%
,April 2015,$240K,37,62,109,62,99.8%
,May 2015,$230K,35,42,91,48,98.8%
,June 2015,$244K,50,36,87,41,98.9%
,July 2015,$239K,43,51,77,42,99.1%
,August 2015,$212K,36,54,101,20,99.3%
,September 2015,$230K,32,28,99,44,100.2%
,October 2015,$240K,28,29,80,36,99.8%
,November 2015,$232K,22,34,84,27,99.0%
,December 2015,$234K,27,11,70,46,97.8%
,January 2016,$253K,21,26,57,49,98.3%
,February 2016,$230K,22,32,60,75,98.7%
,March 2016,$240K,41,62,78,20,99.3%
,April 2016,$256K,29,52,88,12,100.0%
,May 2016,$256K,43,41,75,12,99.9%
,June 2016,$251K,38,46,82,15,99.7%
,July 2016,$280K,39,34,76,25,98.8%
,August 2016,$253K,42,53,91,19,99.9%
,September 2016,$237K,35,42,84,18,99.1%
,October 2016,$248K,29,49,79,33,99.2%
,November 2016,$233K,37,22,75,25,98.6%
,December 2016,$271K,37,30,61,58,99.4%
,January 2017,$264K,27,51,78,60,101.0%
,February 2017,$246K,27,36,75,37,100.7%
,March 2017,$261K,38,51,70,19,99.0%
,April 2017,$251K,31,43,79,9,100.3%
,May 2017,$299K,43,41,73,22,100.4%
,June 2017,$279K,37,67,104,16,99.7%
,July 2017,$295K,30,53,110,30,99.3%
,August 2017,$297K,44,64,112,34,100.2%
,September 2017,$285K,45,37,108,16,99.5%
,October 2017,$289K,32,41,114,38,99.1%
,November 2017,$289K,42,30,85,39,99.0%
,December 2017,$264K,37,18,75,26,99.7%
,January 2018,$288K,16,51,81,46,98.8%
,February 2018,$269K,34,28,78,19,100.0%
,March 2018,$288K,26,47,84,30,100.3%
,April 2018,$306K,27,50,88,10,99.5%
,May 2018,$308K,54,62,83,14,99.4%
,June 2018,$325K,60,41,68,15,101.2%
,July 2018,$336K,46,46,79,19,99.9%
,August 2018,$319K,36,41,77,30,100.1%
,September 2018,$298K,41,48,93,36,99.5%
,October 2018,$331K,28,33,90,29,100.8%
,November 2018,$305K,30,37,88,28,100.8%
,December 2018,$310K,30,29,86,38,98.2%
,January 2019,$304K,21,38,96,22,99.1%
,February 2019,$360K,24,32,87,27,98.9%
,March 2019,$304K,44,57,85,40,100.1%
,April 2019,$348K,39,43,74,40,100.5%
,May 2019,$333K,50,52,77,26,99.6%
,June 2019,$330K,43,45,78,35,100.1%
,July 2019,$322K,48,56,91,18,100.4%
,August 2019,$347K,37,34,77,24,98.4%
,September 2019,$322K,41,51,82,29,99.1%
,October 2019,$341K,40,43,83,41,99.8%
,November 2019,$334K,30,29,68,25,100.2%
,December 2019,$337K,35,21,54,43,99.1%
,January 2020,$370K,22,44,63,37,98.8%
,February 2020,$338K,38,33,42,43,99.6%
,March 2020,$337K,50,56,58,27,100.5%
,April 2020,$371K,36,48,63,30,99.9%
,May 2020,$336K,35,52,59,34,100.0%
,June 2020,$355K,38,43,48,14,100.1%
,July 2020,$335K,43,60,66,19,101.2%
,August 2020,$348K,59,40,49,18,99.6%
,September 2020,$381K,52,42,46,23,99.0%
,October 2020,$353K,47,45,42,14,99.8%
,November 2020,$386K,43,44,35,31,100.1%
,December 2020,$394K,46,22,20,22,100.2%
,January 2021,$381K,25,37,21,9,100.8%
,February 2021,$396K,30,30,21,6,103.0%
,March 2021,$417K,36,47,33,7,103.0%
,April 2021,$432K,36,65,48,9,103.7%
,May 2021,$429K,48,35,34,6,104.2%
,June 2021,$445K,50,66,53,6,104.4%
,July 2021,$431K,43,73,79,9,104.0%
,August 2021,$465K,36,64,79,15,101.5%
,September 2021,$483K,56,58,82,14,101.3%
,October 2021,$496K,51,67,85,23,100.2%
,November 2021,$490K,51,51,70,26,101.3%
,December 2021,$476K,65,25,41,30,100.0%
,January 2022,$532K,31,39,38,22,99.8%
,February 2022,$557K,40,52,41,9,102.4%
,March 2022,$520K,55,75,52,7,102.7%
,April 2022,$554K,52,68,58,8,102.6%
,May 2022,$562K,53,103,100,9,101.0%
,June 2022,$515K,49,91,138,15,102.0%
,July 2022,$494K,56,94,171,24,100.5%
,August 2022,$495K,63,60,162,19,101.0%
,September 2022,$522K,62,52,157,42,99.3%
,October 2022,$485K,51,64,163,31,99.8%
,November 2022,$525K,40,43,149,50,97.7%
,December 2022,$505K,61,29,132,71,97.3%
,January 2023,$473K,28,59,132,53,98.3%
,February 2023,$500K,39,55,123,46,98.3%
,March 2023,$542K,56,53,132,35,100.1%
,April 2023,$500K,44,51,107,37,99.1%
,May 2023,$564K,47,59,103,34,99.4%
,June 2023,$500K,52,40,94,49,99.6%
,July 2023,$505K,30,66,111,43,99.7%
,August 2023,$531K,55,57,113,43,99.9%
,September 2023,$550K,48,42,109,43,99.7%
,October 2023,$534K,36,46,117,36,99.6%
,November 2023,$487K,31,35,108,50,99.4%
,December 2023,$510K,52,24,85,46,99.7%
,January 2024,$546K,27,42,76,32,99.7%
,February 2024,$533K,46,32,61,40,99.1%
,March 2024,$521K,30,47,78,48,98.8%
,April 2024,$502K,35,49,87,29,99.9%
,May 2024,$539K,29,51,98,33,99.2%
,June 2024,$530K,37,62,104,35,98.7%
,July 2024,$499K,41,50,91,36,99.4%
,August 2024,$480K,49,50,94,29,99.7%
,September 2024,$558K,33,38,95,22,100.0%
,October 2024,$497K,32,34,89,32,99.7%
,November 2024,$541K,36,28,77,33,99.3%
,December 2024,$501K,34,26,61,59,98.5%
,January 2025,$470K,17,32,56,52,99.2%
,February 2025,$518K,26,28,53,43,98.9%
"Ankeny, IA",January 2012,$182K,42,98,449,127,98.4%
,February 2012,$177K,65,100,465,118,98.3%
,March 2012,$168K,93,150,520,148,97.0%
,April 2012,$174K,80,152,596,124,98.1%
,May 2012,$177K,129,172,635,124,98.4%
,June 2012,$180K,135,139,645,102,98.5%
,July 2012,$168K,129,139,636,112,98.1%
,August 2012,$185K,128,148,624,104,98.6%
,September 2012,$180K,80,117,641,122,98.3%
,October 2012,$191K,88,119,656,106,98.0%
,November 2012,$180K,93,94,627,125,98.0%
,December 2012,$200K,87,61,580,133,98.8%
,January 2013,$165K,85,141,610,140,98.4%
,February 2013,$190K,67,130,647,141,99.0%
,March 2013,$171K,110,145,662,135,98.2%
,April 2013,$181K,135,188,704,125,98.4%
,May 2013,$190K,170,172,690,117,98.8%
,June 2013,$197K,150,185,717,99,98.6%
,July 2013,$214K,156,188,735,104,99.0%
,August 2013,$193K,157,172,729,103,98.7%
,September 2013,$183K,128,112,698,114,99.3%
,October 2013,$195K,113,146,705,111,98.3%
,November 2013,$210K,96,89,669,113,98.1%
,December 2013,$213K,125,41,558,127,98.6%
,January 2014,$188K,64,97,560,142,98.2%
,February 2014,$194K,78,92,563,155,99.8%
,March 2014,$182K,89,165,619,111,99.0%
,April 2014,$190K,109,199,686,100,99.5%
,May 2014,$193K,161,194,693,99,99.3%
,June 2014,$200K,188,168,670,93,99.2%
,July 2014,$198K,162,184,681,84,99.2%
,August 2014,$192K,152,165,666,90,98.9%
,September 2014,$209K,124,130,657,92,99.5%
,October 2014,$191K,119,135,646,91,99.7%
,November 2014,$204K,112,91,603,77,98.7%
,December 2014,$190K,118,74,559,125,98.1%
,January 2015,$215K,73,149,610,112,99.0%
,February 2015,$176K,104,140,636,134,98.4%
,March 2015,$205K,126,207,702,115,99.9%
,April 2015,$198K,159,227,760,90,99.3%
,May 2015,$197K,202,234,781,77,99.6%
,June 2015,$205K,218,182,732,71,99.4%
,July 2015,$219K,207,160,688,84,98.8%
,August 2015,$235K,166,151,657,71,99.4%
,September 2015,$214K,139,155,650,93,99.3%
,October 2015,$217K,148,139,628,99,99.5%
,November 2015,$213K,117,87,571,74,99.3%
,December 2015,$227K,117,103,540,90,99.5%
,January 2016,$230K,89,120,538,108,99.0%
,February 2016,$197K,86,128,553,133,99.5%
,March 2016,$225K,103,213,652,97,99.4%
,April 2016,$191K,156,217,710,95,99.4%
,May 2016,$220K,187,256,777,76,99.5%
,June 2016,$210K,218,199,749,67,99.9%
,July 2016,$242K,198,173,713,74,99.6%
,August 2016,$214K,153,147,690,84,100.3%
,September 2016,$232K,160,205,721,82,100.2%
,October 2016,$228K,178,146,660,92,99.4%
,November 2016,$245K,131,116,623,108,99.7%
,December 2016,$234K,124,73,534,102,99.2%
,January 2017,$237K,85,143,571,95,99.5%
,February 2017,$213K,86,183,668,97,99.9%
,March 2017,$229K,151,220,716,94,99.4%
,April 2017,$234K,149,215,764,84,99.8%
,May 2017,$240K,208,222,740,75,100.0%
,June 2017,$241K,227,213,701,67,99.8%
,July 2017,$215K,174,168,674,63,99.4%
,August 2017,$241K,174,169,652,77,99.5%
,September 2017,$245K,155,170,649,85,99.7%
,October 2017,$244K,135,169,658,94,99.7%
,November 2017,$235K,149,114,590,83,99.4%
,December 2017,$262K,116,80,549,110,99.2%
,January 2018,$229K,102,146,577,99,99.2%
,February 2018,$217K,98,154,623,112,99.0%
,March 2018,$238K,167,170,571,82,99.1%
,April 2018,$233K,183,232,465,81,99.5%
,May 2018,$238K,192,195,442,48,99.3%
,June 2018,$242K,200,222,513,40,99.2%
,July 2018,$244K,152,155,497,35,99.4%
,August 2018,$255K,175,168,489,30,99.3%
,September 2018,$252K,135,145,503,37,99.7%
,October 2018,$226K,139,159,477,40,99.2%
,November 2018,$239K,126,97,464,48,98.6%
,December 2018,$226K,116,78,448,45,98.4%
,January 2019,$249K,80,127,451,70,98.2%
,February 2019,$237K,85,127,439,59,98.5%
,March 2019,$254K,130,152,452,68,99.4%
,April 2019,$237K,135,205,459,47,98.6%
,May 2019,$247K,177,217,460,35,99.1%
,June 2019,$255K,174,174,454,31,99.2%
,July 2019,$238K,188,208,456,19,99.1%
,August 2019,$250K,194,171,469,42,99.2%
,September 2019,$253K,153,160,500,36,99.7%
,October 2019,$250K,139,158,484,38,99.4%
,November 2019,$258K,117,141,476,41,99.1%
,December 2019,$249K,120,102,469,50,98.6%
,January 2020,$248K,71,122,434,52,98.9%
,February 2020,$256K,101,168,453,83,99.1%
,March 2020,$253K,153,217,483,63,99.6%
,April 2020,$250K,143,195,488,38,99.6%
,May 2020,$254K,164,194,431,56,99.0%
,June 2020,$259K,244,260,418,42,99.5%
,July 2020,$250K,252,264,403,33,99.5%
,August 2020,$260K,242,195,365,29,99.4%
,September 2020,$255K,229,210,381,28,99.7%
,October 2020,$250K,198,194,365,29,99.7%
,November 2020,$260K,189,153,374,16,99.9%
,December 2020,$270K,187,110,367,28,100.1%
,January 2021,$273K,112,125,328,22,100.0%
,February 2021,$270K,112,162,312,32,99.8%
,March 2021,$278K,146,225,299,24,99.6%
,April 2021,$265K,180,242,290,14,100.4%
,May 2021,$281K,178,233,294,7,100.4%
,June 2021,$297K,258,206,312,6,100.5%
,July 2021,$270K,246,181,326,6,101.0%
,August 2021,$285K,198,186,312,13,100.9%
,September 2021,$287K,191,170,314,9,99.9%
,October 2021,$305K,172,161,315,15,100.3%
,November 2021,$313K,167,116,314,11,100.6%
,December 2021,$324K,164,109,294,23,100.3%
,January 2022,$300K,116,110,246,21,99.7%
,February 2022,$307K,99,142,210,21,100.5%
,March 2022,$329K,174,195,222,15,100.6%
,April 2022,$310K,177,203,203,11,101.1%
,May 2022,$351K,198,196,227,6,101.4%
,June 2022,$325K,208,192,262,5,101.2%
,July 2022,$329K,162,195,317,7,101.1%
,August 2022,$310K,163,150,313,9,100.2%
,September 2022,$324K,162,151,343,17,100.3%
,October 2022,$301K,136,116,341,18,99.6%
,November 2022,$317K,90,145,376,17,99.5%
,December 2022,$313K,103,66,354,28,99.5%
,January 2023,$295K,81,117,333,42,99.6%
,February 2023,$293K,77,127,331,53,98.6%
,March 2023,$300K,141,138,322,41,99.8%
,April 2023,$304K,135,155,293,32,99.6%
,May 2023,$325K,157,175,313,33,100.2%
,June 2023,$327K,173,181,332,20,100.3%
,July 2023,$320K,142,164,329,26,99.9%
,August 2023,$332K,165,197,398,20,99.7%
,September 2023,$326K,116,109,395,24,99.8%
,October 2023,$335K,119,121,395,36,99.0%
,November 2023,$331K,102,115,403,37,99.7%
,December 2023,$329K,86,75,382,28,99.9%
,January 2024,$325K,82,67,312,48,99.4%
,February 2024,$298K,76,137,296,83,98.4%
,March 2024,$335K,125,170,325,74,99.0%
,April 2024,$329K,156,152,309,48,99.6%
,May 2024,$333K,162,171,344,28,99.7%
,June 2024,$349K,142,118,330,30,99.4%
,July 2024,$316K,138,142,323,25,99.4%
,August 2024,$332K,132,147,332,28,99.2%
,September 2024,$345K,113,138,352,40,99.8%
,October 2024,$319K,135,167,390,30,98.8%
,November 2024,$313K,105,75,335,42,98.5%
,December 2024,$325K,123,62,303,42,99.2%
,January 2025,$320K,80,91,273,75,98.9%
,February 2025,$350K,71,120,278,63,98.5%
"Apex, NC",January 2012,$225K,34,51,242,94,97.3%
,February 2012,$228K,35,88,269,144,97.9%
,March 2012,$229K,54,116,290,128,97.3%
,April 2012,$236K,80,103,316,84,97.5%
,May 2012,$254K,60,84,295,70,98.3%
,June 2012,$262K,81,110,316,89,98.1%
,July 2012,$240K,77,83,315,94,97.4%
,August 2012,$219K,86,89,318,95,97.9%
,September 2012,$214K,60,84,317,79,97.7%
,October 2012,$249K,62,66,297,68,98.3%
,November 2012,$275K,63,62,282,89,97.8%
,December 2012,$238K,71,59,265,103,98.8%
,January 2013,$244K,45,79,275,100,97.6%
,February 2013,$208K,61,83,267,96,97.8%
,March 2013,$272K,85,97,263,85,98.0%
,April 2013,$240K,105,112,268,73,98.0%
,May 2013,$284K,102,145,286,68,98.7%
,June 2013,$265K,114,122,291,58,99.2%
,July 2013,$255K,127,88,273,56,99.2%
,August 2013,$296K,105,83,247,61,99.7%
,September 2013,$240K,82,110,256,49,98.7%
,October 2013,$262K,80,75,255,81,98.1%
,November 2013,$250K,78,61,222,62,98.9%
,December 2013,$288K,89,43,176,73,99.1%
,January 2014,$262K,48,78,193,76,99.0%
,February 2014,$271K,55,75,200,104,98.4%
,March 2014,$286K,85,106,220,55,99.0%
,April 2014,$280K,91,152,251,63,98.7%
,May 2014,$252K,128,158,259,56,98.8%
,June 2014,$245K,121,135,287,55,99.6%
,July 2014,$287K,104,103,294,49,99.2%
,August 2014,$268K,99,94,287,51,98.7%
,September 2014,$266K,88,109,274,57,99.1%
,October 2014,$268K,120,102,268,57,99.1%
,November 2014,$259K,90,72,251,57,99.2%
,December 2014,$237K,85,62,242,61,99.1%
,January 2015,$255K,67,83,229,64,98.4%
,February 2015,$274K,69,101,241,68,99.4%
,March 2015,$295K,118,135,254,65,99.2%
,April 2015,$286K,92,136,264,48,99.4%
,May 2015,$278K,140,142,271,48,99.4%
,June 2015,$289K,162,139,262,47,99.1%
,July 2015,$285K,123,110,247,50,98.9%
,August 2015,$290K,117,116,239,46,99.1%
,September 2015,$273K,86,100,266,48,99.6%
,October 2015,$281K,90,86,238,49,99.5%
,November 2015,$313K,88,70,217,55,100.0%
,December 2015,$275K,106,56,194,53,99.5%
,January 2016,$311K,54,80,211,68,99.5%
,February 2016,$284K,67,124,225,75,100.0%
,March 2016,$315K,100,147,267,48,99.9%
,April 2016,$310K,100,149,303,51,100.3%
,May 2016,$306K,123,174,321,47,100.2%
,June 2016,$340K,153,137,306,50,100.1%
,July 2016,$307K,126,148,317,49,100.4%
,August 2016,$309K,118,129,333,48,100.0%
,September 2016,$297K,126,111,321,55,99.9%
,October 2016,$310K,99,163,358,56,99.7%
,November 2016,$341K,97,98,337,47,99.5%
,December 2016,$349K,134,86,313,59,99.9%
,January 2017,$339K,80,92,326,55,99.9%
,February 2017,$377K,86,136,376,67,100.2%
,March 2017,$345K,142,196,401,46,100.4%
,April 2017,$367K,112,153,419,42,100.3%
,May 2017,$368K,165,257,515,52,100.5%
,June 2017,$347K,189,192,533,52,100.4%
,July 2017,$353K,124,170,542,47,99.9%
,August 2017,$363K,164,168,539,46,100.1%
,September 2017,$326K,137,162,555,55,99.8%
,October 2017,$343K,138,139,545,66,100.0%
,November 2017,$331K,127,124,533,74,99.3%
,December 2017,$320K,203,88,457,84,99.6%
,January 2018,$343K,87,151,498,63,99.2%
,February 2018,$310K,101,145,523,81,99.4%
,March 2018,$385K,141,186,542,98,99.7%
,April 2018,$348K,173,216,592,59,99.9%
,May 2018,$332K,169,250,674,64,100.0%
,June 2018,$370K,222,212,642,63,99.8%
,July 2018,$361K,222,168,607,62,99.6%
,August 2018,$370K,192,195,616,64,99.8%
,September 2018,$360K,125,120,624,69,99.5%
,October 2018,$363K,151,125,575,64,99.5%
,November 2018,$357K,165,109,532,97,99.5%
,December 2018,$405K,141,85,496,71,99.1%
,January 2019,$372K,93,152,515,97,98.6%
,February 2019,$371K,128,154,525,81,99.0%
,March 2019,$385K,158,196,527,81,99.4%
,April 2019,$373K,193,228,556,68,99.6%
,May 2019,$390K,205,233,588,63,99.6%
,June 2019,$376K,212,188,600,62,99.6%
,July 2019,$377K,204,187,567,55,99.4%
,August 2019,$399K,175,146,560,68,99.4%
,September 2019,$377K,169,167,556,68,99.2%
,October 2019,$370K,168,127,496,59,99.3%
,November 2019,$372K,170,121,468,83,99.0%
,December 2019,$373K,157,87,411,80,99.1%
,January 2020,$400K,111,181,431,95,99.3%
,February 2020,$375K,153,159,431,79,99.1%
,March 2020,$397K,173,177,446,53,99.7%
,April 2020,$394K,154,138,458,53,99.5%
,May 2020,$385K,123,189,454,60,99.6%
,June 2020,$390K,197,169,402,59,99.5%
,July 2020,$377K,218,220,410,49,99.7%
,August 2020,$390K,211,164,359,50,99.7%
,September 2020,$387K,184,164,341,52,99.5%
,October 2020,$378K,203,168,308,48,100.0%
,November 2020,$392K,157,99,255,60,99.8%
,December 2020,$380K,166,111,219,50,99.5%
,January 2021,$433K,133,138,187,43,100.2%
,February 2021,$413K,117,123,185,46,100.9%
,March 2021,$391K,161,153,187,35,102.6%
,April 2021,$457K,140,157,203,34,103.2%
,May 2021,$436K,160,143,202,26,104.6%
,June 2021,$452K,180,134,178,29,105.3%
,July 2021,$475K,142,153,218,22,106.1%
,August 2021,$469K,156,138,214,32,106.8%
,September 2021,$496K,113,148,221,34,105.8%
,October 2021,$526K,133,140,222,35,104.9%
,November 2021,$550K,143,134,171,33,104.7%
,December 2021,$513K,141,79,142,31,103.9%
,January 2022,$528K,83,110,146,25,105.9%
,February 2022,$521K,88,121,149,16,106.0%
,March 2022,$540K,121,143,174,18,108.4%
,April 2022,$566K,133,156,190,29,108.6%
,May 2022,$575K,157,189,215,35,105.8%
,June 2022,$576K,151,210,254,27,105.1%
,July 2022,$578K,150,207,302,34,101.9%
,August 2022,$576K,132,175,326,31,100.9%
,September 2022,$535K,129,128,327,36,99.8%
